epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,8816.16,0.79136,0.46268,1.04919,0.51617,0.39074,0.43349,0.28335,1.34435,1.35985,1.39362,0.006898,0.006898,0.006898
96,8908.23,0.7962,0.4594,1.05252,0.52949,0.4273,0.45216,0.29608,1.36308,1.39923,1.4202,0.006865,0.006865,0.006865
97,9000.23,0.78231,0.44984,1.04388,0.49162,0.39778,0.4328,0.28823,1.35702,1.39469,1.40864,0.006832,0.006832,0.006832
98,9092.12,0.77938,0.44808,1.04561,0.46646,0.3946,0.42238,0.27622,1.36223,1.37977,1.39129,0.006799,0.006799,0.006799
99,9185.79,0.77554,0.45214,1.04566,0.45224,0.41587,0.42041,0.27,1.37007,1.40168,1.40897,0.006766,0.006766,0.006766
100,9277.53,0.78555,0.45444,1.05107,0.47383,0.4053,0.43406,0.28041,1.36249,1.32915,1.40699,0.006733,0.006733,0.006733
101,9367.95,0.78563,0.45323,1.04739,0.43795,0.38899,0.42393,0.27719,1.36691,1.32765,1.40706,0.0067,0.0067,0.0067
102,9458.94,0.78086,0.45063,1.04723,0.4876,0.39184,0.43099,0.27947,1.38857,1.33657,1.43211,0.006667,0.006667,0.006667
103,9551.26,0.78003,0.45207,1.04061,0.49843,0.39183,0.43297,0.28326,1.34983,1.33682,1.38891,0.006634,0.006634,0.006634
104,9643.03,0.77887,0.44881,1.04647,0.51575,0.40789,0.43023,0.27782,1.36319,1.35225,1.4168,0.006601,0.006601,0.006601
105,9736.16,0.77484,0.44253,1.04108,0.49794,0.41196,0.43412,0.2786,1.35214,1.31675,1.40941,0.006568,0.006568,0.006568
106,9827.77,0.77791,0.44308,1.04408,0.51069,0.41727,0.43343,0.27651,1.34522,1.33223,1.39159,0.006535,0.006535,0.006535
107,9919.95,0.77748,0.43993,1.04472,0.47906,0.4349,0.43795,0.28149,1.3895,1.37118,1.44351,0.006502,0.006502,0.006502
108,10012.1,0.77085,0.44004,1.04351,0.46889,0.41401,0.43273,0.27506,1.38194,1.41595,1.44378,0.006469,0.006469,0.006469
109,10104.5,0.77867,0.44233,1.04695,0.47085,0.40969,0.43504,0.28633,1.35581,1.36213,1.41712,0.006436,0.006436,0.006436
110,10195.3,0.77336,0.43424,1.04054,0.48095,0.40539,0.43069,0.2842,1.33566,1.40827,1.39542,0.006403,0.006403,0.006403
111,10287,0.7718,0.43843,1.03958,0.49147,0.4049,0.43578,0.28603,1.34752,1.35034,1.41059,0.00637,0.00637,0.00637
112,10381.2,0.76569,0.44052,1.03623,0.46057,0.42969,0.43161,0.28059,1.35653,1.38973,1.41025,0.006337,0.006337,0.006337
113,10474.1,0.77595,0.43928,1.0395,0.48102,0.43075,0.43893,0.28876,1.35847,1.39254,1.40666,0.006304,0.006304,0.006304
114,10566.2,0.77078,0.43479,1.03962,0.47531,0.42652,0.44154,0.28837,1.34504,1.36406,1.39139,0.006271,0.006271,0.006271
115,10658.8,0.77259,0.43784,1.0456,0.4843,0.40365,0.44406,0.28409,1.35357,1.31943,1.38257,0.006238,0.006238,0.006238
116,10749.7,0.76388,0.43233,1.03397,0.47052,0.41351,0.43854,0.28242,1.33704,1.31033,1.36891,0.006205,0.006205,0.006205
117,10843,0.76499,0.43542,1.03732,0.44887,0.42721,0.43444,0.28355,1.32166,1.28951,1.36054,0.006172,0.006172,0.006172
118,10936.2,0.76571,0.43888,1.03374,0.44823,0.42687,0.42978,0.28413,1.33083,1.31831,1.37632,0.006139,0.006139,0.006139
119,11028.1,0.76521,0.43184,1.03384,0.45268,0.43279,0.43542,0.29182,1.33842,1.32387,1.38411,0.006106,0.006106,0.006106
120,11117.8,0.75591,0.42771,1.03172,0.46847,0.4198,0.43511,0.29212,1.32974,1.31349,1.38337,0.006073,0.006073,0.006073
121,11210,0.76331,0.43005,1.03574,0.46301,0.42175,0.43169,0.29105,1.32383,1.29558,1.37014,0.00604,0.00604,0.00604
122,11301.4,0.75856,0.42754,1.03103,0.44371,0.42304,0.43451,0.29137,1.31535,1.26977,1.35833,0.006007,0.006007,0.006007
123,11392.8,0.75474,0.42585,1.0315,0.44171,0.41736,0.42482,0.28478,1.33533,1.27282,1.3774,0.005974,0.005974,0.005974
124,11483.2,0.75314,0.42522,1.03262,0.42675,0.41185,0.41543,0.27423,1.34455,1.30318,1.388,0.005941,0.005941,0.005941
125,11574.7,0.74944,0.42436,1.03197,0.43123,0.40626,0.41708,0.27354,1.35854,1.31417,1.40219,0.005908,0.005908,0.005908
126,11667.5,0.75428,0.42495,1.03469,0.44399,0.41775,0.41902,0.27512,1.36214,1.31046,1.40386,0.005875,0.005875,0.005875
127,11759,0.75967,0.43142,1.03405,0.44669,0.41226,0.42142,0.27858,1.35134,1.30737,1.39797,0.005842,0.005842,0.005842
128,11851.7,0.76129,0.42571,1.03524,0.41898,0.40945,0.41562,0.27564,1.35343,1.29772,1.40561,0.005809,0.005809,0.005809
129,11944.5,0.75379,0.41936,1.03526,0.44373,0.39839,0.41904,0.2767,1.36849,1.32215,1.41763,0.005776,0.005776,0.005776
130,12035.2,0.755,0.42047,1.02912,0.45562,0.40093,0.41996,0.27839,1.35991,1.31953,1.40881,0.005743,0.005743,0.005743
131,12127.1,0.74065,0.41233,1.02237,0.41056,0.40595,0.41532,0.27519,1.35315,1.33102,1.3994,0.00571,0.00571,0.00571
132,12220.1,0.74994,0.42263,1.02844,0.41161,0.404,0.41383,0.27178,1.35533,1.3467,1.39965,0.005677,0.005677,0.005677
133,12313,0.74171,0.41434,1.01883,0.43171,0.39534,0.41406,0.27352,1.34346,1.37071,1.38909,0.005644,0.005644,0.005644
134,12405.1,0.73948,0.41327,1.02331,0.44671,0.39733,0.41616,0.27562,1.33714,1.36585,1.38454,0.005611,0.005611,0.005611
135,12497,0.74473,0.4154,1.02312,0.46788,0.39935,0.42492,0.2851,1.32802,1.34654,1.37646,0.005578,0.005578,0.005578
136,12587.3,0.75049,0.41979,1.02502,0.47848,0.40098,0.43153,0.29061,1.32714,1.33667,1.37594,0.005545,0.005545,0.005545
137,12678.1,0.73856,0.41442,1.02247,0.47463,0.40064,0.43616,0.2943,1.32347,1.32042,1.37107,0.005512,0.005512,0.005512
138,12769.3,0.74104,0.41024,1.02163,0.50117,0.38462,0.43637,0.29243,1.322,1.33411,1.37176,0.005479,0.005479,0.005479
139,12861.8,0.7399,0.41501,1.02126,0.52133,0.37799,0.43434,0.28841,1.32746,1.32798,1.37536,0.005446,0.005446,0.005446
140,12956.1,0.73725,0.41494,1.02016,0.51683,0.37756,0.43154,0.28519,1.3379,1.34339,1.38248,0.005413,0.005413,0.005413
141,13047.2,0.7323,0.40954,1.019,0.50542,0.37761,0.43029,0.28019,1.34832,1.3633,1.39043,0.00538,0.00538,0.00538
142,13138.9,0.73476,0.40775,1.02028,0.50127,0.38047,0.43096,0.27924,1.35132,1.36956,1.39365,0.005347,0.005347,0.005347
143,13230.5,0.73126,0.40684,1.02199,0.50218,0.38001,0.42891,0.27854,1.3577,1.37812,1.39718,0.005314,0.005314,0.005314
144,13321.2,0.72566,0.40309,1.01561,0.49053,0.38323,0.42798,0.27992,1.35433,1.37747,1.39802,0.005281,0.005281,0.005281
145,13413.5,0.73385,0.40227,1.01936,0.45316,0.39735,0.42425,0.2788,1.35143,1.38095,1.39718,0.005248,0.005248,0.005248
146,13506.1,0.73396,0.40738,1.02142,0.45088,0.40024,0.42058,0.27625,1.34869,1.39392,1.39811,0.005215,0.005215,0.005215
147,13596,0.73625,0.40709,1.02096,0.45174,0.40599,0.41884,0.27488,1.34473,1.39653,1.39553,0.005182,0.005182,0.005182
148,13687.9,0.73447,0.40268,1.01716,0.4466,0.40009,0.41865,0.27418,1.34887,1.40308,1.39838,0.005149,0.005149,0.005149
149,13780.8,0.72915,0.40254,1.01752,0.44206,0.40048,0.4217,0.27341,1.35141,1.40831,1.40051,0.005116,0.005116,0.005116
150,13872.3,0.72715,0.40199,1.01536,0.43997,0.39616,0.42084,0.27449,1.34908,1.41865,1.39763,0.005083,0.005083,0.005083
151,13963.1,0.72896,0.39857,1.01821,0.45297,0.39184,0.42041,0.27683,1.34472,1.41779,1.39226,0.00505,0.00505,0.00505
152,14054.6,0.72624,0.40001,1.01819,0.44536,0.39775,0.42077,0.27727,1.33825,1.41551,1.3891,0.005017,0.005017,0.005017
153,14147.3,0.72438,0.40391,1.017,0.44371,0.39655,0.42312,0.28074,1.33529,1.4062,1.38716,0.004984,0.004984,0.004984
154,14238.7,0.72264,0.39603,1.01021,0.45279,0.39064,0.42246,0.28125,1.33409,1.39745,1.38613,0.004951,0.004951,0.004951
155,14331,0.72062,0.3999,1.01298,0.4531,0.3887,0.42282,0.28098,1.3322,1.40187,1.38265,0.004918,0.004918,0.004918
156,14423.2,0.72293,0.3945,1.01812,0.43869,0.40192,0.42413,0.28145,1.33221,1.4042,1.38091,0.004885,0.004885,0.004885
157,14515,0.7153,0.39358,1.01162,0.44286,0.40132,0.42215,0.28005,1.3318,1.40294,1.37868,0.004852,0.004852,0.004852
158,14606.5,0.71401,0.39621,1.01079,0.45012,0.39471,0.42097,0.27873,1.33077,1.4081,1.37735,0.004819,0.004819,0.004819
159,14698,0.72056,0.39539,1.01212,0.45622,0.38905,0.42096,0.27942,1.33049,1.41127,1.37847,0.004786,0.004786,0.004786
160,14789.3,0.71724,0.39068,1.01269,0.45698,0.3913,0.42353,0.28117,1.33127,1.41472,1.37845,0.004753,0.004753,0.004753
161,14880.9,0.7165,0.39075,1.01129,0.45737,0.38935,0.42322,0.2808,1.33324,1.41976,1.38137,0.00472,0.00472,0.00472
162,14971.2,0.71555,0.39158,1.01251,0.45028,0.39566,0.42142,0.28074,1.33324,1.41962,1.38324,0.004687,0.004687,0.004687
163,15064.3,0.71348,0.39045,1.00661,0.44957,0.39565,0.42054,0.27968,1.33174,1.41884,1.38157,0.004654,0.004654,0.004654
164,15155.9,0.71501,0.39186,1.00933,0.45438,0.39404,0.41978,0.28067,1.33122,1.42084,1.38143,0.004621,0.004621,0.004621
165,15248.1,0.7183,0.39233,1.01253,0.45167,0.39701,0.42002,0.28022,1.32986,1.41978,1.38047,0.004588,0.004588,0.004588
166,15339.3,0.70546,0.38434,1.00523,0.44613,0.39829,0.42002,0.28124,1.33036,1.4215,1.38126,0.004555,0.004555,0.004555
167,15431.7,0.70482,0.38645,1.01096,0.44452,0.39853,0.41976,0.2801,1.33132,1.42256,1.38238,0.004522,0.004522,0.004522
168,15522.1,0.71316,0.39188,1.01033,0.43955,0.40284,0.41868,0.28033,1.32941,1.42491,1.38193,0.004489,0.004489,0.004489
169,15612.9,0.70702,0.38448,1.00912,0.45604,0.3939,0.41967,0.28106,1.32795,1.42355,1.38093,0.004456,0.004456,0.004456
170,15705.4,0.70955,0.38497,1.00607,0.47269,0.39336,0.42133,0.28112,1.32884,1.42366,1.38206,0.004423,0.004423,0.004423
171,15796,0.70403,0.3842,1.00563,0.46948,0.38582,0.42176,0.28172,1.32951,1.42434,1.38452,0.00439,0.00439,0.00439
